size,S470,S471,S472,S473,S474R,S474,S475,S476,S477,S478,S479R,S479,S479B,S480,S481,S482,S483,S484,S484B,S678,S1221,TD,TD2
1674,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1408,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1184,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
995.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
837.2,100,100,100,100,100,100,100,100,100,100,100,99.87,100,100,99.85,100,100,100,100,100,100,100,100
704,100,100,100,100,100,99.75,100,100,100,100,100,99.72,100,100,99.67,100,99.39,100,99.58,100,100,100,100
592,100,99.68,100,100,100,99.38,100,100,100,100,100,99.54,100,100,99.46,100,98.13,100,98.96,100,100,100,100
497.8,99.64,98.81,100,100,99.65,98.6,100,99.67,99.65,100,99.49,98.99,99.6,99.56,98.93,99.57,95.66,99.57,97.9,99.63,99.89,100,100
418.6,99.19,97.23,100,100,99.24,97.54,99.89,99.29,99.17,100,98.77,98.31,99.09,99.02,98.28,99.04,91.19,99.03,96.35,99.2,99.65,100,100
352,98.52,93.86,100,100,98.65,95.96,99.75,98.76,98.31,100,97.35,96.95,98.28,98.15,97,98.22,83.66,98.18,93.97,98.6,99.21,100,100
296,97.51,88.17,99.75,99.63,97.82,93.83,99.33,98.04,97.06,99.76,94.61,94.3,96.97,96.74,94.42,96.95,75.63,96.86,90.88,97.78,98.59,100,100
248.9,96.07,80.97,99.29,99.16,96.72,91.27,98.82,97.11,95.33,99.35,90.22,89.95,94.99,94.62,89.96,95.11,69.09,94.99,87.62,96.74,97.74,100,100
209.3,94.21,73.8,98.66,98.59,95.41,88.58,98.2,96.01,93.1,98.86,85.29,84.97,92.35,91.93,84.47,92.82,64.48,92.73,84.29,95.55,96.62,100,99.65
176,92.09,67.49,97.81,97.93,94.01,85.86,97.5,94.84,90.45,98.3,80.9,80.31,89.41,89.18,79.26,90.42,61.01,90.4,81.06,94.32,95.23,100,99.23
148,89.96,62.35,96.7,97.22,92.64,83.41,96.73,93.67,87.68,97.67,77.91,77.02,86.62,86.82,75.63,88.24,58.07,88.27,78.06,93.14,93.55,99.67,98.72
124.5,87.98,58.11,95.3,96.46,91.35,81.31,95.92,92.54,84.9,96.98,76,74.85,84.25,84.96,73.35,86.42,55.37,86.39,75.34,92.03,91.55,99.27,98.12
104.7,86.21,54.38,93.58,95.64,90.12,79.52,95.04,91.42,82.32,96.22,74.65,73.29,82.29,83.44,71.81,84.89,52.81,84.67,72.91,90.97,89.11,98.78,97.4
88,84.61,50.86,91.47,94.7,88.87,77.9,94.04,90.25,79.92,95.34,73.52,71.97,80.58,82.04,70.57,83.5,50.35,82.97,70.7,89.88,85.97,98.13,96.5
74,83.11,47.38,88.87,93.55,87.52,76.3,92.83,88.94,77.6,94.27,72.38,70.65,78.92,80.57,69.35,82.09,47.98,81.18,68.6,88.69,81.71,97.2,95.31
